cuda, sapmling, time:, 0.024652
cuda, sapmling, time:, 0.001625
cuda, sapmling, time:, 0.012150
cuda, sapmling, time:, 0.024799
cuda, sapmling, time:, 0.000989
cuda, sapmling, time:, 0.011500
cuda, sapmling, time:, 0.024471
cuda, sapmling, time:, 0.001018
cuda, sapmling, time:, 0.007775
cuda, sapmling, time:, 0.025387
cuda, sapmling, time:, 0.000079
cuda, sapmling, time:, 0.000174
cuda, sapmling, time:, 0.008279
cuda, sapmling, time:, 0.000468
cuda, sapmling, time:, 0.010953
cuda, sapmling, time:, 0.024443
cuda, sapmling, time:, 0.000606
cuda, sapmling, time:, 0.011953
cuda, sapmling, time:, 0.025638
cuda, sapmling, time:, 0.000392
cuda, sapmling, time:, 0.008215
cuda, sapmling, time:, 0.026064
cuda, sapmling, time:, 0.000419
cuda, sapmling, time:, 0.007451
cuda, sapmling, time:, 0.026690
cuda, sapmling, time:, 0.000402
cuda, sapmling, time:, 0.007407
cuda, sapmling, time:, 0.026609
cuda, sapmling, time:, 0.000573
cuda, sapmling, time:, 0.010806
cuda, sapmling, time:, 0.025742
cuda, sapmling, time:, 0.000654
cuda, sapmling, time:, 0.011752
cuda, sapmling, time:, 0.024865
cuda, sapmling, time:, 0.000377
cuda, sapmling, time:, 0.007884
cuda, sapmling, time:, 0.025651
cuda, sapmling, time:, 0.000468
cuda, sapmling, time:, 0.011666
cuda, sapmling, time:, 0.025795
cuda, sapmling, time:, 0.000502
cuda, sapmling, time:, 0.007706
cuda, sapmling, time:, 0.026707
cuda, sapmling, time:, 0.000521
cuda, sapmling, time:, 0.011543
cuda, sapmling, time:, 0.024543
cuda, sapmling, time:, 0.000493
cuda, sapmling, time:, 0.007356
cuda, sapmling, time:, 0.024867
cuda, sapmling, time:, 0.000671
cuda, sapmling, time:, 0.008073
cuda, sapmling, time:, 0.026528
cuda, sapmling, time:, 0.000420
cuda, sapmling, time:, 0.007792
cuda, sapmling, time:, 0.027825
cuda, sapmling, time:, 0.000446
cuda, sapmling, time:, 0.007018
cuda, sapmling, time:, 0.025697
cuda, sapmling, time:, 0.000679
cuda, sapmling, time:, 0.011891
cuda, sapmling, time:, 0.025071
cuda, sapmling, time:, 0.000440
cuda, sapmling, time:, 0.012110
cuda, sapmling, time:, 0.024925
cuda, sapmling, time:, 0.000423
cuda, sapmling, time:, 0.008322
cuda, sapmling, time:, 0.025453
cuda, sapmling, time:, 0.000492
cuda, sapmling, time:, 0.011940
cuda, sapmling, time:, 0.024735
cuda, sapmling, time:, 0.000606
cuda, sapmling, time:, 0.010971
cuda, sapmling, time:, 0.024791
cuda, sapmling, time:, 0.000479
Training in mixed mode.
Loading data
Graph(num_nodes=2449029, num_edges=123718280,
      ndata_schemes={'test_mask': Scheme(shape=(), dtype=torch.uint8), 'val_mask': Scheme(shape=(), dtype=torch.uint8), 'train_mask': Scheme(shape=(), dtype=torch.uint8), 'label': Scheme(shape=(), dtype=torch.int64), 'feat': Scheme(shape=(100,), dtype=torch.float32)}
      edata_schemes={})
<class 'dgl.heterograph.DGLGraph'>
partition start
Convert a graph into a bidirected graph: 13.900 seconds, peak memory: 23.000 GB
Construct multi-constraint weights: 0.000 seconds, peak memory: 23.000 GB
Metis partitioning: 37.197 seconds, peak memory: 25.434 GB
torch.Size([2449029])
Array computation done and passed to neighbour.py line 631
Training...
Epoch 00000 | Loss 2.4558 | Accuracy 0.5404 | Time : 19.344522714614868
 Total Training Time 19.3445 seconds
Testing...
Test Accuracy 0.4276
cuda, sapmling, time:, 0.007284
cuda, sapmling, time:, 0.026995
cuda, sapmling, time:, 0.000496
cuda, sapmling, time:, 0.007406
cuda, sapmling, time:, 0.026814
cuda, sapmling, time:, 0.000453
cuda, sapmling, time:, 0.011146
cuda, sapmling, time:, 0.026171
cuda, sapmling, time:, 0.000445
cuda, sapmling, time:, 0.006422
cuda, sapmling, time:, 0.026077
cuda, sapmling, time:, 0.000377
cuda, sapmling, time:, 0.006454
cuda, sapmling, time:, 0.026503
cuda, sapmling, time:, 0.000458
cuda, sapmling, time:, 0.007253
cuda, sapmling, time:, 0.025467
cuda, sapmling, time:, 0.000457
cuda, sapmling, time:, 0.007530
cuda, sapmling, time:, 0.026740
cuda, sapmling, time:, 0.000471
cuda, sapmling, time:, 0.007095
cuda, sapmling, time:, 0.026654
cuda, sapmling, time:, 0.000662
cuda, sapmling, time:, 0.011175
cuda, sapmling, time:, 0.026144
cuda, sapmling, time:, 0.000466
cuda, sapmling, time:, 0.007706
cuda, sapmling, time:, 0.025330
cuda, sapmling, time:, 0.000420
cuda, sapmling, time:, 0.010802
cuda, sapmling, time:, 0.024905
cuda, sapmling, time:, 0.000570
cuda, sapmling, time:, 0.012287
cuda, sapmling, time:, 0.024820
cuda, sapmling, time:, 0.000511
cuda, sapmling, time:, 0.011642
cuda, sapmling, time:, 0.025068
cuda, sapmling, time:, 0.000582
cuda, sapmling, time:, 0.011534
cuda, sapmling, time:, 0.025571
cuda, sapmling, time:, 0.000494
cuda, sapmling, time:, 0.011646
cuda, sapmling, time:, 0.025389
cuda, sapmling, time:, 0.000384
cuda, sapmling, time:, 0.011653
cuda, sapmling, time:, 0.024855
cuda, sapmling, time:, 0.000513
cuda, sapmling, time:, 0.006485
cuda, sapmling, time:, 0.025410
cuda, sapmling, time:, 0.000386
cuda, sapmling, time:, 0.007821
cuda, sapmling, time:, 0.025358
cuda, sapmling, time:, 0.000148
cuda, sapmling, time:, 0.005498
cuda, sapmling, time:, 0.017824
